Gene stable ID	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSMUSG00000099809	Gm18665	1277313	1277582	Y
ENSMUSG00000069044	Usp9y	1298961	1459782	Y
ENSMUSG00000077481	Gm25272	124171130	124171257	14
ENSMUSG00000100842	Gm17790	1736187	1737414	Y
ENSMUSG00000101947	Gm29167	1788576	1789167	Y
ENSMUSG00000100619	Gm8446	1946919	1973442	Y
ENSMUSG00000100877	Gm28534	2004144	2004819	Y
ENSMUSG00000100576	Gm28975	2061234	2061919	Y
ENSMUSG00000100326	Gm28974	2076580	2076810	Y
ENSMUSG00000100356	Gm18797	2078596	2085281	Y
ENSMUSG00000101443	Rhoay-ps1	2095392	2095972	Y
ENSMUSG00000000103	Zfy2	2106015	2170409	Y
ENSMUSG00000099614	Uba1y-ps2	2264257	2278687	Y
ENSMUSG00000099973	Gm18796	2298529	2314624	Y
ENSMUSG00000099888	Gm29552	2325791	2326450	Y
ENSMUSG00000100445	Gm29550	2328880	2329287	Y
ENSMUSG00000102072	Gm29551	2336696	2337393	Y
ENSMUSG00000101290	Gm8480	2380664	2381361	Y
ENSMUSG00000100103	Gm29553	2397266	2397544	Y
ENSMUSG00000102120	Gm28630	2552500	2552997	Y
ENSMUSG00000099445	Gm28629	2597674	2597936	Y
ENSMUSG00000094881	H2al2c	2599099	2599434	Y
ENSMUSG00000099748	Uba1y-ps1	2637211	2647300	Y
ENSMUSG00000069036	Sry	2662471	2663658	Y
ENSMUSG00000101064	Gm18798	2678944	2689032	Y
ENSMUSG00000095573	H2al2b	2720339	2720674	Y
ENSMUSG00000101114	Gm28628	2721836	2722099	Y
ENSMUSG00000102053	Gm4064	2785165	2796205	Y
ENSMUSG00000100700	Gm6137	2806115	2806692	Y
ENSMUSG00000101066	Gm8498	2825380	2826353	Y
ENSMUSG00000094658	Rbmy	2830680	2841854	Y
ENSMUSG00000095852	Gm10256	2830699	2873492	Y
ENSMUSG00000100145	Gm8502	2856974	2857874	Y
ENSMUSG00000099405	Gm8506	2895798	2896626	Y
ENSMUSG00000091987	Gm10352	2900989	2912206	Y
ENSMUSG00000099728	Gm8510	2927358	2928252	Y
ENSMUSG00000101667	Gm29289	2932582	2939416	Y
ENSMUSG00000093918	Gm21677	3294976	3306449	Y
ENSMUSG00000099455	Gm29288	3310714	3311614	Y
ENSMUSG00000094511	Gm21693	3326750	3345329	Y
ENSMUSG00000101141	Gm21139	3349656	3350532	Y
ENSMUSG00000093987	Gm21704	3367147	3410167	Y
ENSMUSG00000100285	Gm21147	3383123	3384035	Y
ENSMUSG00000095948	Gm21708	3399188	3410167	Y
ENSMUSG00000100960	Gm21156	3414421	3415289	Y
ENSMUSG00000099970	Rhoay-ps2	3747151	3747731	Y
ENSMUSG00000099660	Gm2316	3766452	3767372	Y
ENSMUSG00000096520	Gm3376	3771673	3783267	Y
ENSMUSG00000101016	Gm2325	3804121	3804701	Y
ENSMUSG00000100360	Gm28649	3846545	3853545	Y
ENSMUSG00000099838	Gm8521	3859067	3859672	Y
ENSMUSG00000100132	Gm18177	3875525	3875928	Y
ENSMUSG00000101030	Gm28429	3886204	3886566	Y
ENSMUSG00000100641	Gm28413	3905027	3905317	Y
ENSMUSG00000101145	Gm28412	3909381	3909557	Y
ENSMUSG00000100656	Gm8525	3948853	3949713	Y
ENSMUSG00000100082	Gm28414	3950043	3950336	Y
ENSMUSG00000101712	Gm28648	3968870	3983656	Y
ENSMUSG00000101558	Gm28647	3986025	3986221	Y
ENSMUSG00000100753	Gm29435	3991193	3991881	Y
ENSMUSG00000101499	Vmn2r-ps139	4005164	4016574	Y
ENSMUSG00000101108	Gm29038	4164028	4164705	Y
ENSMUSG00000100300	Gm28191	4227580	4239057	Y
ENSMUSG00000100683	Gm28186	4311904	4312582	Y
ENSMUSG00000102088	Gm21064	4341127	4381726	Y
ENSMUSG00000099514	Gm28241	4531045	4531637	Y
ENSMUSG00000100446	Gm28242	4586871	4590103	Y
ENSMUSG00000102680	Gm37222	4666848	4669808	Y
ENSMUSG00000099684	Gm28356	4768840	4794934	Y
ENSMUSG00000100984	Gm28357	4885200	4887558	Y
ENSMUSG00000100137	Gm29352	4892859	4893402	Y
ENSMUSG00000100958	Gm29351	4903523	4904050	Y
ENSMUSG00000099575	Gm29350	4940856	4941396	Y
ENSMUSG00000100597	Gm29349	4951400	4951897	Y
ENSMUSG00000099410	Gm29355	5002140	5002836	Y
ENSMUSG00000093927	Gm20918	5043937	5046265	Y
ENSMUSG00000101212	Gm29354	5146887	5147582	Y
ENSMUSG00000101041	Gm29353	5235231	5237553	Y
ENSMUSG00000118417	Gm50460	5247795	5248337	Y
ENSMUSG00000095693	Gm21820	5248359	5249441	Y
ENSMUSG00000101611	Gm29357	5286082	5286779	Y
ENSMUSG00000101769	Gm29356	5320598	5320970	Y
ENSMUSG00000100792	Gm29161	5340177	5340875	Y
ENSMUSG00000099766	Gm28767	5383039	5383152	Y
ENSMUSG00000099726	Gm29160	5391538	5392236	Y
ENSMUSG00000101576	Gm20915	5440160	5460208	Y
ENSMUSG00000102115	Gm28766	5465722	5465955	Y
ENSMUSG00000102102	Gm29159	5472490	5472868	Y
ENSMUSG00000077425	Gm24280	105208863	105208996	14
ENSMUSG00000099761	Gm29158	5617083	5620317	Y
ENSMUSG00000096706	Gm21854	5656986	5659574	Y
ENSMUSG00000101805	Gm28768	5682517	5682894	Y
ENSMUSG00000101380	Gm28769	5695785	5696399	Y
ENSMUSG00000096268	Gm20914	5725978	5728317	Y
ENSMUSG00000100634	Gm28171	5793395	5795728	Y
ENSMUSG00000100056	Gm28173	5899578	5902813	Y
ENSMUSG00000102338	Gm37236	5912031	5915279	Y
ENSMUSG00000101291	Gm29194	5934890	5938242	Y
ENSMUSG00000096036	Gm21778	5942460	5945031	Y
ENSMUSG00000102042	Gm29195	5973657	5974035	Y
ENSMUSG00000100878	Gm29196	5986815	5987432	Y
ENSMUSG00000099721	Gm28435	5998624	5998731	Y
ENSMUSG00000101619	Gm28436	6018394	6019091	Y
ENSMUSG00000100710	Gm29197	6084520	6085221	Y
ENSMUSG00000100292	Gm29198	6198427	6201677	Y
ENSMUSG00000101081	Gm29193	6220975	6246362	Y
ENSMUSG00000099815	Gm28430	6224822	6227191	Y
ENSMUSG00000118404	Gm21746	6237453	6237995	Y
ENSMUSG00000101525	Gm28593	6259341	6262689	Y
ENSMUSG00000095148	Gm20873	6267098	6269548	Y
ENSMUSG00000101707	Gm28916	6305733	6306431	Y
ENSMUSG00000100275	Gm28915	6368874	6369572	Y
ENSMUSG00000100472	Gm28918	6454156	6454854	Y
ENSMUSG00000100289	Gm28917	6576815	6577051	Y
ENSMUSG00000101243	Gm28919	6583546	6615511	Y
ENSMUSG00000079806	Gm21719	6680421	6682872	Y
ENSMUSG00000100479	Gm28921	6694078	6694455	Y
ENSMUSG00000099352	Gm28920	6717540	6718238	Y
ENSMUSG00000101388	Gm28444	6724211	6727474	Y
ENSMUSG00000101055	Gm28443	6870145	6870842	Y
ENSMUSG00000096686	Gm20830	6916300	6918282	Y
ENSMUSG00000099505	Gm28442	6952407	6952905	Y
ENSMUSG00000100161	Gm28445	6974976	6978213	Y
ENSMUSG00000102039	Gm20788	7027311	7028007	Y
ENSMUSG00000101913	Gm28999	7085143	7088378	Y
ENSMUSG00000094484	Gm21244	7165068	7169293	Y
ENSMUSG00000101479	Gm28997	7196381	7197172	Y
ENSMUSG00000100939	Gm28998	7253787	7280017	Y
ENSMUSG00000100262	Gm28398	7299029	7299475	Y
ENSMUSG00000100453	Gm28397	7340242	7340940	Y
ENSMUSG00000100858	Gm28400	7353770	7354149	Y
ENSMUSG00000099965	Gm28399	7377152	7377469	Y
ENSMUSG00000100948	Gm28395	7378876	7382220	Y
ENSMUSG00000118447	Gm21788	7405010	7405552	Y
ENSMUSG00000100961	Gm28394	7415351	7418585	Y
ENSMUSG00000100806	Gm28396	7464101	7464479	Y
ENSMUSG00000101521	Gm28393	7552848	7556083	Y
ENSMUSG00000094081	Gm20826	7632774	7638489	Y
ENSMUSG00000101181	Vmn2r-ps149	7665545	7666321	Y
ENSMUSG00000100645	Gm28576	7722941	7749195	Y
ENSMUSG00000100124	Gm28575	7768203	7768649	Y
ENSMUSG00000101956	Gm28574	7809403	7810101	Y
ENSMUSG00000101351	Gm28573	7822919	7823298	Y
ENSMUSG00000100412	Gm28572	7846294	7846611	Y
ENSMUSG00000102026	Gm28571	7848018	7851362	Y
ENSMUSG00000099800	Gm28570	7884460	7887694	Y
ENSMUSG00000099861	Gm29049	7994833	7997168	Y
ENSMUSG00000095324	Gm20825	8069168	8071507	Y
ENSMUSG00000101616	Gm29047	8087690	8087797	Y
ENSMUSG00000100312	Gm29048	8092144	8102756	Y
ENSMUSG00000100258	Gm29045	8137439	8138136	Y
ENSMUSG00000101229	Gm29046	8144038	8147387	Y
ENSMUSG00000101456	Gm29043	8196252	8198619	Y
ENSMUSG00000100421	Gm29044	8247646	8257801	Y
ENSMUSG00000103618	Gm37951	8251026	8254057	Y
ENSMUSG00000101928	Gm20824	8257907	8284105	Y
ENSMUSG00000100239	Gm28146	8344310	8345010	Y
ENSMUSG00000100460	Gm28145	8357996	8358375	Y
ENSMUSG00000101331	Gm28148	8381405	8382101	Y
ENSMUSG00000101366	Gm28147	8412716	8415081	Y
ENSMUSG00000101142	Gm28142	8498822	8499519	Y
ENSMUSG00000100047	Gm28141	8517395	8517736	Y
ENSMUSG00000101858	Gm28144	8570058	8570756	Y
ENSMUSG00000100933	Gm28143	8590448	8590556	Y
ENSMUSG00000100804	Gm28150	8602111	8602724	Y
ENSMUSG00000101672	Gm28149	8612098	8612475	Y
ENSMUSG00000099929	Gm28098	8635534	8636232	Y
ENSMUSG00000099939	Gm28330	8644954	8654329	Y
ENSMUSG00000100491	Gm28331	8675892	8678256	Y
ENSMUSG00000099566	Gm28099	8764233	8764931	Y
ENSMUSG00000101053	Gm20815	8832821	8835169	Y
ENSMUSG00000101732	Gm28328	8853288	8853396	Y
ENSMUSG00000101056	Gm28329	8911342	8912030	Y
ENSMUSG00000099904	Gm28270	8931764	8931872	Y
ENSMUSG00000099523	Gm28327	8943097	8943711	Y
ENSMUSG00000100542	Gm28097	8956616	8956981	Y
ENSMUSG00000099956	Gm29365	8980001	8980699	Y
ENSMUSG00000100080	Gm29364	8986692	8990039	Y
ENSMUSG00000101441	Gm29363	9022596	9024960	Y
ENSMUSG00000091077	Gm21292	9130999	9133924	Y
ENSMUSG00000094679	Gm21721	9199824	9202190	Y
ENSMUSG00000100109	Gm29366	9230662	9231360	Y
ENSMUSG00000100848	Gm29281	9244109	9244489	Y
ENSMUSG00000100105	Gm29330	9267565	9268263	Y
ENSMUSG00000101095	Gm29329	9307879	9310243	Y
ENSMUSG00000094773	Gm21812	9344836	9347184	Y
ENSMUSG00000099688	Gm29535	9365390	9365498	Y
ENSMUSG00000101094	Gm29533	9377058	9377672	Y
ENSMUSG00000101647	Gm29534	9387098	9387479	Y
ENSMUSG00000096223	Gm21874	9413518	9416148	Y
ENSMUSG00000101737	Gm28849	9420765	9430932	Y
ENSMUSG00000100752	Gm28847	9451587	9452286	Y
ENSMUSG00000100463	Gm28848	9462449	9477366	Y
ENSMUSG00000101977	Gm28846	9494691	9495058	Y
ENSMUSG00000100661	Gm29471	9552436	9553135	Y
ENSMUSG00000100571	Gm29474	9609197	9609575	Y
ENSMUSG00000100087	Gm29475	9707917	9726230	Y
ENSMUSG00000094556	Gm20821	9781804	9784197	Y
ENSMUSG00000100049	Gm28506	9986127	9986276	Y
ENSMUSG00000100477	Gm28507	10019064	10019766	Y
ENSMUSG00000100800	Gm21301	10065783	10066481	Y
ENSMUSG00000099439	Gm29142	10084919	10085614	Y
ENSMUSG00000095032	Gm21310	10144735	10147183	Y
ENSMUSG00000099372	Gm28509	10151537	10154879	Y
ENSMUSG00000101699	Gm28508	10277698	10278393	Y
ENSMUSG00000095242	Gm20834	10322618	10324589	Y
ENSMUSG00000101396	Gm28510	10412737	10444691	Y
ENSMUSG00000100995	Gm29525	10496820	10497518	Y
ENSMUSG00000100273	Gm29526	10510482	10510860	Y
ENSMUSG00000095950	Gm20737	10533609	10536042	Y
ENSMUSG00000118472	Gm21775	10553453	10553992	Y
ENSMUSG00000118422	Gm21900	10616361	10616903	Y
ENSMUSG00000100369	Gm29527	10626743	10629110	Y
ENSMUSG00000075359	Gm20775	10641257	10643107	Y
ENSMUSG00000099668	Gm29522	10658332	10660695	Y
ENSMUSG00000100731	Gm29523	10678430	10679128	Y
ENSMUSG00000100074	Gm29524	10713102	10713800	Y
ENSMUSG00000099676	Gm29528	10726740	10727118	Y
ENSMUSG00000094813	Gm20777	10750004	10752450	Y
ENSMUSG00000099482	Gm28955	10756787	10760126	Y
ENSMUSG00000099776	Gm28954	10806574	10808312	Y
ENSMUSG00000100742	Gm28953	10885361	10886057	Y
ENSMUSG00000100730	Gm20776	10930578	10931277	Y
ENSMUSG00000100567	Gm28958	11010496	11011198	Y
ENSMUSG00000094838	Gm20828	11197024	11199374	Y
ENSMUSG00000101319	Gm28957	11251236	11251608	Y
ENSMUSG00000101789	Gm28956	11345842	11426704	Y
ENSMUSG00000100015	Gm28952	11465876	11466556	Y
ENSMUSG00000099572	Gm28951	11681696	11708109	Y
ENSMUSG00000101690	Gm28390	11763935	11764634	Y
ENSMUSG00000101842	Gm28391	11777111	11777489	Y
ENSMUSG00000101871	Gm28389	11800542	11801238	Y
ENSMUSG00000100919	Gm28655	12019193	12019884	Y
ENSMUSG00000101123	Gm28654	12056605	12056983	Y
ENSMUSG00000101276	Gm28657	12175563	12176249	Y
ENSMUSG00000100368	Gm28656	12211889	12212386	Y
ENSMUSG00000100231	Gm29554	12273932	12306702	Y
ENSMUSG00000101469	Gm29556	12330536	12331231	Y
ENSMUSG00000095508	Gm20812	12381981	12384008	Y
ENSMUSG00000103330	Gm35108	12418987	12419685	Y
ENSMUSG00000104505	Gm37739	12513577	12516809	Y
ENSMUSG00000104468	Gm21736	12564103	12564795	Y
ENSMUSG00000094135	Gm21379	12688110	12690064	Y
ENSMUSG00000103361	Gm36928	12883607	12884300	Y
ENSMUSG00000104267	Gm20807	13042891	13045326	Y
ENSMUSG00000103352	Gm38084	13091542	13093901	Y
ENSMUSG00000102335	Gm37231	13120040	13122400	Y
ENSMUSG00000095769	Gm21891	13132950	13133492	Y
ENSMUSG00000096820	Gm21425	13161968	13164408	Y
ENSMUSG00000103474	Gm37252	13210161	13213395	Y
ENSMUSG00000095759	Gm21828	13223386	13223928	Y
ENSMUSG00000103468	Gm21440	13252391	13254834	Y
ENSMUSG00000093903	Gm21454	13252442	13378804	Y
ENSMUSG00000103176	Gm37147	13307101	13310334	Y
ENSMUSG00000104522	Gm38159	13335783	13338145	Y
ENSMUSG00000095462	Gm21725	13348521	13349063	Y
ENSMUSG00000102177	Gm37870	13423453	13426687	Y
ENSMUSG00000102346	Gm37378	13452288	13454653	Y
ENSMUSG00000093883	Gm21866	13465037	13465579	Y
ENSMUSG00000095900	Gm20773	13494026	13496466	Y
ENSMUSG00000102174	Gm36398	13532809	13533504	Y
ENSMUSG00000102583	Gm37441	13569691	13570368	Y
ENSMUSG00000104048	Gm37561	13580701	13582258	Y
ENSMUSG00000104404	Gm36728	13783494	13813771	Y
ENSMUSG00000102799	Gm32295	13873383	13874078	Y
ENSMUSG00000102613	Gm20836	13910346	13911041	Y
ENSMUSG00000103524	Gm37263	13917048	13920389	Y
ENSMUSG00000094227	Gm21767	13941738	13942280	Y
ENSMUSG00000103681	Gm37130	13952701	13955065	Y
ENSMUSG00000104409	Gm37467	13980581	13983815	Y
ENSMUSG00000104127	Gm20928	14029703	14030398	Y
ENSMUSG00000103872	Gm38363	14071394	14073759	Y
ENSMUSG00000102787	Gm30174	14220904	14223183	Y
ENSMUSG00000104499	Gm30353	14282472	14284836	Y
ENSMUSG00000103431	Gm30686	14347558	14349915	Y
ENSMUSG00000104191	Gm30737	14400710	14426798	Y
ENSMUSG00000102492	Gm36987	14525080	14528058	Y
ENSMUSG00000104260	Gm31186	14801725	14802420	Y
ENSMUSG00000102251	Gm37654	14863840	14867073	Y
ENSMUSG00000102366	Gm37044	14958903	14959595	Y
ENSMUSG00000103909	Gm31511	15156683	15187324	Y
ENSMUSG00000102835	Gm37572	15241461	15244691	Y
ENSMUSG00000103943	Gm37344	15270053	15273287	Y
ENSMUSG00000102624	Gm37059	15444179	15445304	Y
ENSMUSG00000102138	Gm31942	15490643	15492836	Y
ENSMUSG00000102582	Gm37440	15569795	15572225	Y
ENSMUSG00000103666	Gm38185	15615108	15615801	Y
ENSMUSG00000104207	Gm37395	15694983	15695679	Y
ENSMUSG00000102392	Gm37577	15734796	15737530	Y
ENSMUSG00000095172	Gm20822	15882421	15884771	Y
ENSMUSG00000102754	Gm38183	16031250	16039572	Y
ENSMUSG00000103167	Gm38149	16092783	16112032	Y
ENSMUSG00000102387	Gm38145	16151241	16151933	Y
ENSMUSG00000102208	Gm32033	16367090	16393523	Y
ENSMUSG00000102265	Gm32447	16449293	16449989	Y
ENSMUSG00000104490	Gm20770	16485909	16486602	Y
ENSMUSG00000103112	Gm38016	16614136	16614828	Y
ENSMUSG00000103234	Gm37158	16691330	16697033	Y
ENSMUSG00000102288	Gm36998	16731147	16731850	Y
ENSMUSG00000103417	Gm33112	16887481	16888179	Y
ENSMUSG00000094829	Gm21809	16923785	16924282	Y
ENSMUSG00000104510	Gm34015	17002626	17018392	Y
ENSMUSG00000095520	Gm20877	17093873	17095892	Y
ENSMUSG00000103602	Gm33191	17130890	17131588	Y
ENSMUSG00000102586	Gm38003	17225447	17228678	Y
ENSMUSG00000102170	Gm20781	17275991	17276683	Y
ENSMUSG00000095365	Rbm31y	17400761	17402715	Y
ENSMUSG00000102421	Gm37325	17596834	17597527	Y
ENSMUSG00000104032	Gm20833	17757509	17758204	Y
ENSMUSG00000102400	Gm37865	17804545	17806904	Y
ENSMUSG00000102520	Gm36941	17833041	17835401	Y
ENSMUSG00000094161	Gm21904	17845724	17846266	Y
ENSMUSG00000102726	Gm37937	17867025	17870364	Y
ENSMUSG00000102739	Gm20772	17874741	17877179	Y
ENSMUSG00000094325	Gm20831	17874741	17967603	Y
ENSMUSG00000103757	Gm37286	17922928	17926162	Y
ENSMUSG00000096819	Srsy	17935713	17937330	Y
ENSMUSG00000103994	Gm38028	17957447	17960787	Y
ENSMUSG00000095879	Gm21764	18061270	18061812	Y
ENSMUSG00000095267	Ssty1	18089116	18091556	Y
ENSMUSG00000103917	Gm38072	18199139	18202472	Y
ENSMUSG00000104439	Gm20851	18208481	18209176	Y
ENSMUSG00000104446	Gm30312	18245623	18246318	Y
ENSMUSG00000103514	Gm37433	18282548	18283225	Y
ENSMUSG00000102150	Gm37473	18283695	18284883	Y
ENSMUSG00000103782	Gm37656	18293525	18295111	Y
ENSMUSG00000104050	Gm38127	18321027	18322074	Y
ENSMUSG00000102264	Gm30638	18496225	18526495	Y
ENSMUSG00000103871	Gm38361	18557838	18558876	Y
ENSMUSG00000104356	Gm31260	18586095	18586790	Y
ENSMUSG00000103802	Gm21660	18623067	18623762	Y
ENSMUSG00000104472	Gm38209	18629784	18633125	Y
ENSMUSG00000095927	Gm21822	18654482	18655024	Y
ENSMUSG00000103347	Gm37734	18665417	18667781	Y
ENSMUSG00000104407	Gm38013	18693357	18696591	Y
ENSMUSG00000102290	Gm21678	18742471	18743166	Y
ENSMUSG00000103612	Gm37948	18749156	18752497	Y
ENSMUSG00000102580	Gm37442	18863519	18864085	Y
ENSMUSG00000102273	Gm34550	18933163	18935442	Y
ENSMUSG00000102294	Gm37544	18972545	18973072	Y
ENSMUSG00000103190	Gm34716	18994762	18997125	Y
ENSMUSG00000102867	Gm37635	19038589	19039116	Y
ENSMUSG00000102968	Gm35070	19059861	19062218	Y
ENSMUSG00000103371	Gm35134	19113007	19139093	Y
ENSMUSG00000103489	Gm37998	19157403	19157855	Y
ENSMUSG00000103796	Gm38094	19237403	19240380	Y
ENSMUSG00000102552	Gm21763	19514319	19515014	Y
ENSMUSG00000104426	Gm38369	19671505	19672197	Y
ENSMUSG00000102304	Gm35843	19869287	19899927	Y
ENSMUSG00000102195	Gm38168	19954018	19957248	Y
ENSMUSG00000104506	Gm37740	19983060	19985421	Y
ENSMUSG00000119093	AL663062.1	158981281	158981412	2
ENSMUSG00000102913	Gm37723	20430181	20430745	Y
ENSMUSG00000103664	Gm36261	20497512	20499791	Y
ENSMUSG00000103005	Gm37898	20537098	20537625	Y
ENSMUSG00000103752	Gm36467	20559991	20562355	Y
ENSMUSG00000102551	Gm37927	20603914	20604441	Y
ENSMUSG00000102255	Gm36891	20698839	20729217	Y
ENSMUSG00000103365	Gm36929	20759357	20759803	Y
ENSMUSG00000103829	Gm38174	20791345	20794578	Y
ENSMUSG00000102668	Gm29866	20967477	20993657	Y
ENSMUSG00000104131	Gm36950	21052482	21055721	Y
ENSMUSG00000103023	Gm20910	21096898	21097593	Y
ENSMUSG00000103689	Gm30598	21133838	21134452	Y
ENSMUSG00000094294	Gm20909	21164570	21166905	Y
ENSMUSG00000093848	Gm20865	21241575	21243910	Y
ENSMUSG00000102429	Gm37462	21346236	21349473	Y
